samples,fin_data,OnST,OnST-H
73,0.359135668374413,0.0016375487026947,0.00111197553909735
74,0.358703075416194,0.00161033079605972,0.00107429025532625
75,0.344379836816463,0.00158127159031659,0.00103980472808625
76,0.372611817497734,0.00156038829480685,0.00101753188277991
77,0.366549452944396,0.00153903864339816,0.0010030141110963
78,0.344607708862174,0.00152903296639306,0.00100438331557486
79,0.334429192535183,0.00153146670725873,0.00101640490739878
80,0.374304676552076,0.0015371299989424,0.00102734689249197
81,0.373301700489913,0.00152599270057486,0.00104914079278963
82,0.366596049534405,0.00151512190076115,0.00106430939483969
83,0.316824103486298,0.00149787191529257,0.00106796254517641
84,0.3122417069362,0.00148891598169427,0.00106959227304047
85,0.324252780682434,0.00147365724829346,0.00107224602391591
86,0.303753105832289,0.00145857776674415,0.00108017218898758
87,0.327184456287395,0.00143608666381275,0.0010784243231356
88,0.340390785797749,0.00141557273817475,0.00108400152258818
89,0.264697197127469,0.00138724123225117,0.00110432770123783
90,0.237844754041872,0.00135728299288715,0.00111076728482933
91,0.269598023051762,0.00132537404041984,0.00110286221591469
92,0.237494769958943,0.00131442611690984,0.0011054601847519
93,0.210487524874476,0.0013099780458915,0.00110969644065917
94,0.244567184314219,0.00130125961981863,0.00110874094057761
95,0.244481883853831,0.001308589256566,0.00111391491122165
96,0.234727632333517,0.00130360868827073,0.00112917266955699
97,0.270414455625337,0.00130438320596916,0.00113923042714356
98,0.223907537856275,0.00131274893435193,0.00115898047883914
99,0.234933386795595,0.00131866222704836,0.00116597528552057
100,0.255743301571478,0.00132355005721419,0.0011907534985433
101,0.248014480758786,0.00132099782848655,0.00124029251652996
102,0.293574549241417,0.00131604230151988,0.00130978665924211
103,0.295794952099376,0.00131077922535807,0.00138465209951721
104,0.331979051434439,0.00131768902754352,0.00147176953898399
105,0.338822356862819,0.0013275261738311,0.00156705119075047
106,0.405556644662093,0.00134563492818174,0.00166217523682037
107,0.415503101632711,0.00136231811568512,0.00175724124134292
108,0.43950159767434,0.00137885459940417,0.00185583442355371
109,0.427613724505407,0.0013847849407172,0.00194080429559841
110,0.426092994683268,0.00138634027304383,0.00201145930646993
111,0.391331998834891,0.00137606252251737,0.00206904623344773
112,0.389245212021983,0.00137567080599185,0.00210826404985768
113,0.373293992964377,0.00138339496051469,0.00218400512313059
114,0.378344415982752,0.00137886234404275,0.00223451060174937
115,0.386489117142795,0.0013689350710962,0.00228148056012386
116,0.385723588625329,0.00136052653473122,0.00233966944280984
117,0.400013951107632,0.00135597410883128,0.00241380908462729
118,0.361094049640028,0.00136288093004052,0.00249689555414326
119,0.368673052386362,0.00136699834295565,0.00255308641272774
120,0.377397538835584,0.00138360809498852,0.00262935482328313
121,0.366442958472832,0.00141957677063349,0.00274147237427243
122,0.374884446697333,0.00146260790629634,0.00285050206219003
123,0.393727537331211,0.00150643093523371,0.00294141243179212
124,0.400308088565699,0.00155418922317567,0.00305196807136569
125,0.415918908223011,0.00159465934914414,0.00313419715610535
126,0.407826337222633,0.00163447841997685,0.00321108726422881
127,0.388869188044123,0.00168103761143173,0.00328869174377859
128,0.388087851712198,0.00171203067592393,0.0033424169132946
