samples,GSR-O H=2,GSR-O H=5,GSR-OH H=2,CSR-OH H=5,Offline H=2,Offline H=5
1351,0.335727998954302,0.387549555976379,0.281129196267077,0.347127440016327,0.378810130440644,0.295085572167092
1401,0.332585573000926,0.383069391213092,0.278154209449926,0.344265931669528,0.37416861707123,0.29247387683686
1451,0.329150420049772,0.37833909889156,0.273180828151435,0.341819474868639,0.369890923076053,0.291762429859577
1501,0.32665582931239,0.373961943683318,0.269422564054062,0.339122199569612,0.366069453748297,0.290108914591423
1551,0.324730313133747,0.370113127385002,0.266622641314468,0.337069595522651,0.362576762617462,0.289669795753102
1601,0.322830173553441,0.366338445948669,0.264239997244423,0.336113294768959,0.359810867126476,0.290077658268306
1651,0.320800854336731,0.362206685536977,0.260799874358952,0.334042686795036,0.356321136546062,0.288670331000837
1701,0.317925999855048,0.358220677063728,0.256062174880214,0.331820664341561,0.352672321530591,0.288220962273612
1751,0.314697721926369,0.353644874337409,0.250003623818416,0.32992630528351,0.348965989024024,0.286618759456211
1801,0.312337024834582,0.349844752903751,0.245900856421782,0.329195684340851,0.345826329191104,0.286244284680812
1851,0.310347369536522,0.345995319619165,0.242238129204287,0.329193465746344,0.342944890636562,0.285296348558018
1901,0.308128976870454,0.342178181497207,0.238373347060978,0.328420204149893,0.339823248691562,0.284046244802852
1951,0.305417085158561,0.338421310447366,0.234287125190669,0.327474114153268,0.336817731613816,0.283146552080536
2001,0.302217679547934,0.334507588895666,0.229425017201652,0.326335489447354,0.333924074680515,0.280941872100429
2051,0.29961612061361,0.330800457253235,0.226056919509007,0.324581947830577,0.331181040767644,0.278850939103324
2101,0.296988809817828,0.327068194725015,0.224181055782934,0.322465910172741,0.328349890943991,0.278028613256014
2151,0.295897844109692,0.324232231218701,0.223503749462573,0.321275106147674,0.326201631450027,0.276718675767684
2201,0.294680233342893,0.321444541007864,0.221560616272266,0.319876019252314,0.324194416169019,0.27508155699393
2251,0.29287765884088,0.318517557846447,0.219305712134047,0.318821999862356,0.322405458794684,0.274650441754393
2301,0.291593725656525,0.315974370832638,0.217410775103423,0.318024850178954,0.320785861671494,0.274557421074955
2351,0.290249058685277,0.313541796785653,0.215551622677305,0.317729941230073,0.319350246805126,0.274252915673598
2401,0.289549569032954,0.31104593151751,0.213702375222307,0.318260009330929,0.318202182968538,0.273853800911688
2451,0.288466472643432,0.3085777582621,0.212601803196107,0.318070282217475,0.316761689846899,0.273347230357429
2501,0.287522072984447,0.306263562173581,0.212217576758008,0.318302953246512,0.315636822888622,0.273510243397688
2551,0.28663528267603,0.303973874844827,0.211971530083625,0.318718896107921,0.314511283396152,0.273682669638696
2601,0.286018835495748,0.301988737412672,0.211710958547645,0.319424432084224,0.313564829926899,0.27500685699126
2651,0.285324278780562,0.300083479707928,0.211134219211641,0.320251592332174,0.313264508132982,0.277002609640214
2701,0.284342246689175,0.297841573721073,0.210293900513311,0.320681132005601,0.312347261831305,0.277014598388613
2751,0.283064480824341,0.295667109898307,0.209605550973362,0.320116465611465,0.310850958525155,0.275583169557359
2801,0.282113829625581,0.293503239978475,0.209321016971244,0.319679928326185,0.309430329502194,0.275109148050913
2851,0.280918593234833,0.291452588050089,0.208411238992167,0.31905859849109,0.308026412218833,0.273948744892428
2901,0.279483318440209,0.289054613997768,0.207187553647966,0.31864085935975,0.306538918398484,0.272551853846025
2951,0.27817570427973,0.287162875499805,0.207114659873213,0.318273191811597,0.305240714500306,0.272173363460109
3001,0.277135955717835,0.285332798492431,0.206698967800042,0.317880004635536,0.30407371494471,0.272374188891928
3051,0.275874204230138,0.283634152703139,0.206222518314676,0.317617549350251,0.30274910740457,0.272975409829858
3101,0.27477940328385,0.281982205241406,0.20581230691128,0.317218650782228,0.301827928674657,0.273211677301751
3151,0.27416152361564,0.28038137862922,0.205695313372196,0.31757420328676,0.30121353595856,0.274372368779608
3201,0.273536345358232,0.278715472082244,0.205654172276187,0.317829864765241,0.300458583685106,0.27518743588287
3251,0.273438065569232,0.276918055002335,0.205208195818729,0.31809866524443,0.299766383252521,0.275262245064894
3301,0.273300609852593,0.275412171238548,0.205251977170751,0.318016598647406,0.299082382869081,0.275766060072667
3351,0.272775322649194,0.273800456936756,0.204848094433714,0.31827602319746,0.298589213450945,0.275910735972011
3401,0.272460013940205,0.272452485280833,0.20478277591151,0.318330361010096,0.297860365219654,0.275736148550536
3451,0.272242773395407,0.271293267474926,0.205060723797137,0.318591849528639,0.297432613335147,0.27635815305664
3501,0.272190970495878,0.270195927539463,0.205560714741424,0.318951162831061,0.296901139170073,0.276906215885803
3551,0.272380630091409,0.269012564006426,0.205477071628252,0.318864790927858,0.296503797232989,0.276924445258252
3601,0.272201453454296,0.26752612084335,0.204808138208425,0.318350026069971,0.295622918014879,0.276573985826797
3651,0.271776466683693,0.266339881768163,0.204894250551607,0.31843101157752,0.295111679233623,0.277010254074873
3701,0.271402435602236,0.265133014561072,0.2044903805911,0.318026293043591,0.294216965215868,0.276404269891254
3751,0.270896353027338,0.263904464164846,0.204073969401279,0.317438085895496,0.293307956168064,0.275723037813983
3801,0.269857601499982,0.262446126282995,0.203328795982092,0.317002259571322,0.292370410909247,0.275294708986339
3851,0.269462004378364,0.261457422684908,0.203381164430755,0.316861167356214,0.291844397809723,0.275044324587477
3901,0.268486314288558,0.260094095020241,0.202748274794391,0.316561498962938,0.291054211474719,0.274230381022834
3951,0.267800642616154,0.258904497014048,0.201906314881183,0.316067425782099,0.290271277595679,0.27307026639821
4001,0.266951526687112,0.257722981381944,0.201088912144357,0.315942183891086,0.289582778626274,0.272494939961165
4051,0.266029702341794,0.256408595614465,0.20035518847681,0.315850825567029,0.288733610855612,0.271715382639898
4101,0.265164409695366,0.255213254242974,0.199970759630433,0.316319788037363,0.288353437136584,0.271468898252271
4151,0.264599862810266,0.254126630698002,0.199411732005062,0.31601724437193,0.287619692312517,0.270501351858118
4201,0.263974565326009,0.253089953259804,0.199275147606912,0.3160243217168,0.287031220763356,0.27050580407455
4251,0.263381619282761,0.252112445536355,0.198633000455297,0.316103563775524,0.286477131860512,0.270187933235448
4301,0.263094587366914,0.251488768617892,0.198658452451483,0.315962622125816,0.286176950697251,0.270258249664937
4351,0.263317429421375,0.251006303780424,0.198953973917745,0.316113562120154,0.286050591497787,0.270674629439476
